Symbol,Date,Time,Type,RVOL,Max_Gain_30m,Final_PnL_30m,Is_Win
TCS,2025-11-21,2025-11-21 14:10:00+05:30,LONG,2.099235563823767,0.028435120533319355,-0.2495971691257809,False
TCS,2025-11-24,2025-11-24 13:15:00+05:30,LONG,3.5615240682560407,0.012592079581945822,-0.20462129320657305,False
TCS,2025-11-25,2025-11-25 14:20:00+05:30,SHORT,1.0389594694623623,0.16345629947757792,0.08333066247876379,True
TCS,2025-11-27,2025-11-27 13:15:00+05:30,SHORT,1.1119348716766286,0.06395906619763352,0.03197953309881676,True
TCS,2025-12-01,2025-12-01 14:05:00+05:30,SHORT,1.7431171336595117,0.0672150561725943,-0.028806452645380926,False
WIPRO,2025-11-21,2025-11-21 11:00:00+05:30,SHORT,0.4139745520558474,0.10599266204648157,-0.04076640847941064,False
WIPRO,2025-11-26,2025-11-26 11:15:00+05:30,LONG,0.9648811949047885,0.01613749142695447,-0.15734054141284334,False
ITC,2025-11-18,2025-11-18 11:25:00+05:30,SHORT,1.328643480194467,0.024709661477629326,-0.037064492216465066,False
ITC,2025-11-19,2025-11-19 13:20:00+05:30,SHORT,1.9996988893452465,0.037160906726118485,-0.17341756472192382,False
ITC,2025-11-20,2025-11-20 14:55:00+05:30,LONG,1.5157990777798762,0.18509378084896347,-0.04935834155972079,False
ITC,2025-11-21,2025-11-21 12:15:00+05:30,LONG,1.2458716931110017,0.12271444348999877,0.12271444348999877,True
ITC,2025-11-24,2025-11-24 11:45:00+05:30,SHORT,2.6089348479445773,0.16051364365970547,-0.04938881343375445,False
ITC,2025-11-25,2025-11-25 15:00:00+05:30,SHORT,2.994328362251861,0.23687819473880775,0.16207455429498419,True
ITC,2025-11-27,2025-11-27 15:00:00+05:30,LONG,3.0593738757670317,0.4951107810372571,0.2599331600445628,True
BAJAJ-AUTO,2025-11-19,2025-11-19 13:35:00+05:30,SHORT,0.8906936199324696,0.15770205575894114,-0.2083920022528865,False
BAJAJ-AUTO,2025-11-20,2025-11-20 11:00:00+05:30,LONG,2.2921951077290883,0.5246706854208529,0.3460593882563072,True
BAJAJ-AUTO,2025-11-21,2025-11-21 13:10:00+05:30,SHORT,1.3602349152221276,0.21885521885521886,0.1851851851851852,True
BAJAJ-AUTO,2025-11-25,2025-11-25 12:35:00+05:30,LONG,2.5795318682131367,0.38482682792743267,0.32985156679494226,True
BAJAJ-AUTO,2025-11-26,2025-11-26 12:40:00+05:30,LONG,0.4415551387608482,0.15334063526834613,0.15334063526834613,True
