Symbol,Date,Type,Zone,RVOL,Entry,Exit,Reason,Spot_PnL,Option_PnL,Total_Profit
RELIANCE,2025-12-03,SHORT,GOLD,1.6733713693889993,1533.9,1539.3,Time Limit (60m),-5.399999999999864,-2.699999999999932,-674.999999999983
NESTLEIND,2025-11-19,LONG,QUIET,1.1463966178350211,1272.5,1276.0,Time Limit (60m),3.5,1.75,70.0
NESTLEIND,2025-11-24,SHORT,QUIET,1.3212825200757161,1272.3,1274.6,Time Limit (60m),-2.2999999999999545,-1.1499999999999773,-45.99999999999909
POWERGRID,2025-11-18,LONG,GOLD,2.135261823095387,275.1,275.4,Time Limit (60m),0.2999999999999545,0.14999999999997726,539.9999999999181
POWERGRID,2025-12-02,SHORT,GOLD,1.9192397707101427,268.05,267.5,EOD,0.5500000000000114,0.2750000000000057,990.0000000000205
NTPC,2025-11-18,SHORT,QUIET,1.3447738036688124,328.2,328.4,EOD,-0.19999999999998863,-0.09999999999999432,-299.99999999998295
NTPC,2025-11-20,LONG,GOLD,1.8998691810163284,328.8,327.85,Time Limit (60m),-0.9499999999999886,-0.4749999999999943,-1424.999999999983
NTPC,2025-11-28,SHORT,QUIET,1.2810120742245625,325.3,326.6,Time Limit (60m),-1.3000000000000114,-0.6500000000000057,-1950.000000000017
NTPC,2025-12-02,LONG,QUIET,1.1133790988973493,328.9,329.4,Time Limit (60m),0.5,0.25,750.0
CIPLA,2025-11-24,SHORT,QUIET,1.0548000371735695,1503.5,1505.1,EOD,-1.599999999999909,-0.7999999999999545,-519.9999999999704
CIPLA,2025-11-25,LONG,QUIET,1.4394197139396578,1519.3,1516.2,Time Limit (60m),-3.099999999999909,-1.5499999999999545,-1007.4999999999704
CIPLA,2025-11-26,LONG,QUIET,1.2585646850378538,1520.6,1523.2,Time Limit (60m),2.6000000000001364,1.3000000000000682,845.0000000000443
CIPLA,2025-11-28,LONG,QUIET,1.1711618193919484,1532.3,1530.0,EOD,-2.2999999999999545,-1.1499999999999773,-747.4999999999852
CIPLA,2025-12-03,SHORT,QUIET,1.0790545861246477,1509.0,1505.9,Time Limit (60m),3.099999999999909,1.5499999999999545,1007.4999999999704
M&M,2025-11-18,SHORT,GOLD,2.2063965375443946,3691.5,3699.0,EOD,-7.5,-3.75,-1312.5
M&M,2025-11-21,LONG,GOLD,2.0186910246866385,3749.0,3747.0,EOD,-2.0,-1.0,-350.0
M&M,2025-11-25,SHORT,QUIET,1.0804207826723162,3660.7,3660.7,EOD,0.0,0.0,0.0
