Date,OptionSymbol,Low,High,MaxReturn%,Volume
2025-12-24,MPHASIS25DEC2900PE,17.0,41.75,145.6,416350.0
2025-12-24,MUTHOOTFIN25DEC3800CE,36.0,103.5,187.5,1517725.0
2025-12-24,MUTHOOTFIN25DEC3800PE,11.75,43.3,268.5,1362075.0
2025-12-24,NATIONALUM25DEC295CE,2.3,6.35,176.1,11381250.0
2025-12-24,NATIONALUM25DEC295PE,2.6,6.0,130.8,5790000.0
2025-12-24,NAUKRI25DEC1360CE,12.4,31.85,156.9,534375.0
2025-12-24,NAUKRI25DEC1360PE,5.0,11.75,135.0,257250.0
2025-12-24,NBCC25DEC116CE,1.27,2.5,96.9,1059500.0
2025-12-24,NBCC25DEC116PE,1.0,1.63,63.0,1716000.0
2025-12-24,NCC25DEC160CE,2.08,4.0,92.3,1296000.0
2025-12-24,NCC25DEC160PE,1.08,1.81,67.6,834300.0
2025-12-24,NESTLEIND25DEC1260CE,3.35,9.5,183.6,922000.0
2025-12-24,NESTLEIND25DEC1260PE,7.0,16.8,140.0,355000.0
2025-12-24,NHPC25DEC78CE,0.56,1.15,105.4,2003200.0
2025-12-24,NHPC25DEC78PE,0.45,0.76,68.9,1126400.0
2025-12-24,NMDC25DEC81CE,1.0,1.68,68.0,12494250.0
2025-12-24,NMDC25DEC81PE,0.45,0.88,95.6,25137000.0
2025-12-24,NTPC25DEC322.5CE,1.8,4.7,161.1,2061000.0
2025-12-24,NTPC25DEC322.5PE,0.65,1.45,123.1,3465000.0
2025-12-24,NUVAMA25DEC7600CE,15.0,134.45,796.3,1595325.0
2025-12-24,NUVAMA25DEC7600PE,86.15,219.2,154.4,102225.0
2025-12-24,NYKAA25DEC257.5CE,2.0,5.7,185.0,2740625.0
2025-12-24,NYKAA25DEC257.5PE,0.9,2.25,150.0,3737500.0
2025-12-24,OBEROIRLTY25DEC1680CE,9.45,24.7,161.4,549850.0
2025-12-24,OBEROIRLTY25DEC1680PE,15.5,29.0,87.1,120750.0
2025-12-24,OFSS25DEC7800CE,51.7,119.05,130.3,59625.0
2025-12-24,OFSS25DEC7800PE,45.0,85.75,90.6,66075.0
2025-12-24,OIL25DEC410CE,2.8,5.9,110.7,637000.0
2025-12-24,OIL25DEC410PE,1.95,3.8,94.9,408800.0
2025-12-24,ONGC25DEC234CE,1.33,3.38,154.1,2502000.0
2025-12-24,ONGC25DEC234PE,0.8,1.9,137.5,2283750.0
2025-12-24,PAGEIND25DEC36500CE,305.0,481.0,57.7,13815.0
2025-12-24,PAGEIND25DEC36500PE,230.0,370.0,60.9,9075.0
2025-12-24,PATANJALI25DEC545CE,3.75,12.2,225.3,445500.0
2025-12-24,PATANJALI25DEC545PE,2.5,8.15,226.0,585000.0
2025-12-24,PAYTM25DEC1320CE,13.7,33.55,144.9,590875.0
2025-12-24,PAYTM25DEC1320PE,5.1,10.35,102.9,1153475.0
2025-12-24,PERSISTENT25DEC6400CE,45.75,122.0,166.7,260200.0
2025-12-24,PERSISTENT25DEC6400PE,40.65,95.4,134.7,511600.0
2025-12-24,PETRONET25DEC280CE,2.0,4.9,145.0,4060800.0
2025-12-24,PETRONET25DEC280PE,0.8,2.55,218.7,2980800.0
2025-12-24,PFC25DEC350CE,3.25,7.5,130.8,2306200.0
2025-12-24,PFC25DEC350PE,1.0,2.0,100.0,5384600.0
2025-12-24,PGEL25DEC580CE,6.1,14.0,129.5,2193100.0
2025-12-24,PGEL25DEC580PE,4.05,11.75,190.1,1332100.0
2025-12-24,PHOENIXLTD25DEC1840CE,16.3,28.5,74.8,241500.0
2025-12-24,PHOENIXLTD25DEC1840PE,6.4,15.0,134.4,81200.0
2025-12-24,PIDILITIND25DEC1440CE,13.0,26.0,100.0,49000.0
2025-12-24,PIDILITIND25DEC1440PE,2.7,6.2,129.6,166500.0
2025-12-24,PIIND25DEC3200CE,40.3,77.5,92.3,51975.0
2025-12-24,PIIND25DEC3200PE,9.8,21.15,115.8,133350.0
2025-12-24,PNB25DEC121CE,0.88,1.45,64.8,37480000.0
2025-12-24,PNB25DEC121PE,0.72,1.15,59.7,15040000.0
2025-12-24,PNBHOUSING25DEC970CE,1.15,8.9,673.9,6547450.0
2025-12-24,PNBHOUSING25DEC970PE,10.9,18.3,67.9,131950.0
2025-12-24,POLICYBZR25DEC1920CE,15.4,33.0,114.3,430150.0
2025-12-24,POLICYBZR25DEC1920PE,12.2,25.85,111.9,365050.0
2025-12-24,POLYCAB25DEC7600CE,69.0,121.95,76.7,95750.0
2025-12-24,POLYCAB25DEC7600PE,38.8,64.35,65.9,320750.0
2025-12-24,POWERGRID25DEC267.5CE,1.65,3.6,118.2,2040600.0
2025-12-24,POWERGRID25DEC267.5PE,1.0,2.6,160.0,1825900.0
2025-12-24,POWERINDIA25DEC18500CE,182.5,442.7,142.6,50150.0
2025-12-24,POWERINDIA25DEC18500PE,126.35,296.6,134.7,51650.0
2025-12-24,PPLPHARMA25DEC177.5CE,1.06,3.92,269.8,847500.0
2025-12-24,PPLPHARMA25DEC177.5PE,0.65,2.06,216.9,3272500.0
2025-12-24,PRESTIGE25DEC1620CE,10.05,24.2,140.8,1899900.0
2025-12-24,PRESTIGE25DEC1620PE,15.2,33.5,120.4,1224450.0
2025-12-24,RBLBANK25DEC305CE,2.85,8.5,198.2,4714875.0
2025-12-24,RBLBANK25DEC305PE,1.05,3.4,223.8,2635250.0
2025-12-24,RECLTD25DEC355CE,2.25,5.15,128.9,6683550.0
2025-12-24,RECLTD25DEC355PE,2.3,4.0,73.9,7610475.0
2025-12-24,RELIANCE25DEC1560CE,5.35,17.0,217.8,10319000.0
